order_id,order_region_id,tran_type_id,order_status_id,customer_id,store_id,shipping_mode_id,order_date,shipping_date,real_days_for_shipping
1,59,3,3,10515,9923,1,01-01-2015 00:00,01-03-2015 00:00,2
2,55,4,4,3195,3083,1,01-01-2015 00:21,01-04-2015 00:21,3
3,55,3,3,9982,9432,1,01-01-2015 01:03,01-06-2015 01:03,5
4,55,1,1,2149,2060,1,01-01-2015 01:24,01-07-2015 01:24,6
5,62,1,1,6770,6560,3,01-01-2015 02:06,01-04-2015 02:06,3
6,62,2,6,2782,2691,1,01-01-2015 02:27,01-05-2015 02:27,4
7,62,4,4,5350,5174,1,01-01-2015 02:48,01-06-2015 02:48,5
8,62,4,4,2908,2816,1,01-01-2015 03:09,01-07-2015 03:09,6
9,62,4,9,9922,9377,1,01-01-2015 03:30,01-03-2015 03:30,2
10,79,3,3,3904,3763,1,01-01-2015 03:51,01-04-2015 03:51,3
11,79,4,4,3173,3061,1,01-01-2015 04:12,01-05-2015 04:12,4
12,79,2,6,10074,9522,1,01-01-2015 04:33,01-06-2015 04:33,5
13,246,1,1,10980,10237,1,01-01-2015 04:54,01-07-2015 04:54,6
14,246,4,4,14251,12713,1,01-01-2015 05:15,01-03-2015 05:15,2
15,70,1,1,4893,4728,1,01-01-2015 05:36,01-04-2015 05:36,3
16,70,3,3,3727,3591,1,01-01-2015 05:57,01-05-2015 05:57,4
17,70,4,4,8821,8447,1,01-01-2015 06:18,01-06-2015 06:18,5
18,70,2,6,6808,6597,1,01-01-2015 06:39,01-07-2015 06:39,6
19,1263,2,2,5483,2868,2,01-01-2015 07:00,01-03-2015 07:00,2
20,405,4,4,14260,384,3,01-01-2015 07:42,01-05-2015 07:42,4
21,778,3,3,7201,6959,3,01-01-2015 08:03,01-06-2015 08:03,5
22,253,3,3,14516,12919,3,01-01-2015 08:24,01-07-2015 08:24,6
23,1197,4,4,2070,1982,3,01-01-2015 09:06,01-04-2015 09:06,3
24,57,1,1,3605,3476,1,01-01-2015 09:27,01-05-2015 09:27,4
25,57,2,6,15627,13668,1,01-01-2015 09:48,01-06-2015 09:48,5
26,57,4,4,3546,3418,1,01-01-2015 10:09,01-07-2015 10:09,6
27,57,4,9,4506,4345,1,01-01-2015 10:30,01-03-2015 10:30,2
28,57,4,4,14062,12594,2,01-01-2015 11:12,01-03-2015 11:12,2
29,57,2,6,12158,3894,2,01-01-2015 11:33,01-03-2015 11:33,2
30,59,1,1,3089,2981,3,01-01-2015 11:54,01-07-2015 11:54,6
31,59,2,2,19444,15853,3,01-01-2015 12:15,01-03-2015 12:15,2
32,59,3,3,5088,4916,3,01-01-2015 12:36,01-04-2015 12:36,3
33,2783,2,6,1937,1856,3,01-01-2015 12:57,01-05-2015 12:57,4
34,2783,2,2,5340,5165,3,01-01-2015 13:18,01-06-2015 13:18,5
35,1221,4,4,13590,12158,2,01-01-2015 14:00,01-03-2015 14:00,2
36,1202,2,2,6981,6762,2,01-01-2015 14:21,01-03-2015 14:21,2
37,2854,4,4,14060,12592,2,01-01-2015 14:42,01-03-2015 14:42,2
38,2854,2,2,1573,1502,1,01-01-2015 15:03,01-06-2015 15:03,5
39,2854,1,1,2766,2675,1,01-01-2015 15:24,01-07-2015 15:24,6
40,2169,1,8,12314,11325,1,01-01-2015 15:45,01-03-2015 15:45,2
41,53,2,6,5410,5233,1,01-01-2015 16:27,01-05-2015 16:27,4
42,1673,2,2,6033,5837,1,01-01-2015 16:49,01-06-2015 16:49,5
43,1119,2,5,6801,6590,1,01-01-2015 17:10,01-07-2015 17:10,6
44,1127,3,3,10329,9762,1,01-01-2015 17:31,01-03-2015 17:31,2
45,57,4,4,10094,9542,1,01-01-2015 17:52,01-04-2015 17:52,3
46,53,1,1,170,170,1,01-01-2015 19:16,01-03-2015 19:16,2
47,53,3,3,10501,9909,1,01-01-2015 19:37,01-04-2015 19:37,3
48,1271,4,4,2406,2316,1,01-01-2015 19:58,01-05-2015 19:58,4
49,778,4,4,12826,11618,1,01-01-2015 20:19,01-06-2015 20:19,5
50,2563,3,3,7313,7051,3,01-01-2015 21:01,01-03-2015 21:01,2
51,1919,3,3,4744,4582,1,01-01-2015 21:22,01-04-2015 21:22,3
52,57,1,1,5394,5217,1,01-01-2015 21:43,01-05-2015 21:43,4
53,1337,4,4,13867,12408,2,01-01-2015 22:04,01-03-2015 22:04,2
54,1337,1,1,11997,11142,2,01-01-2015 22:25,01-03-2015 22:25,2
