store_id,store_street,store_city,store_state,store_country,store_zipcode,latitude,longitude
1,5365 Noble Nectar Island,Caguas,PR,Puerto Rico,725,18.2514534,-66.03705597
2,2679 Rustic Loop,Caguas,PR,Puerto Rico,725,18.27945137,-66.0370636
3,8510 Round Bear Gate,San Jose,CA,USA,95125,37.29223251,-121.881279
4,3200 Amber Bend,Los Angeles,CA,USA,90027,34.12594605,-118.2910156
5,8671 Iron Anchor Corners,Caguas,PR,Puerto Rico,725,18.25376892,-66.03704834
6,2122 Hazy Corner,Tonawanda,NY,USA,14150,43.01396942,-78.87906647
7,1879 Green Pine Bank,Caguas,PR,Puerto Rico,725,18.24253845,-66.03705597
8,7595 Cotton Log Row,Miami,FL,USA,33162,25.92886925,-80.16287231
9,2051 Dusty Route,Caguas,PR,Puerto Rico,725,18.23322296,-66.03705597
10,9139 Blue Blossom Court,San Ramon,CA,USA,94583,37.77399063,-121.966629
11,4058 Quiet Heights,Caguas,PR,Puerto Rico,725,18.28284454,-66.03705597
12,3243 Shady Corner,Freeport,NY,USA,11520,40.65486527,-73.58707428
13,131 Sunny Treasure Green,Salinas,CA,USA,93905,36.6763382,-121.656517
14,2531 Wishing Square,Caguas,PR,Puerto Rico,725,18.27843857,-66.03705597
15,6417 Silver Towers,Peabody,MA,USA,1960,42.52627564,-70.92703247
16,257 Harvest Close,Caguas,PR,Puerto Rico,725,18.28404999,-66.03705597
17,7342 Hazy Beacon Park,Canovanas,PR,Puerto Rico,729,18.3957901,-65.87288666
18,7787 Lazy Corners,Paramount,CA,USA,90723,33.89869309,-118.1745605
19,5136 Rustic Pioneer Estates,Caguas,PR,Puerto Rico,725,18.233778,-66.0370636
20,1723 Tawny Via,Mount Prospect,IL,USA,60056,42.04830551,-87.96134186
21,7111 Silent Fox Gardens,Long Beach,CA,USA,90813,33.78245163,-118.1922455
22,3732 Old Mountain Bank,Caguas,PR,Puerto Rico,725,18.28337669,-66.03705597
23,6217 Rustic Lake Forest,Rancho Cordova,CA,USA,95670,38.61177445,-121.2828674
